ACCT_ID,CUST_ID,PARTY_ID,PRODUCT_CD,ACCT_STATUS,OPEN_DATE,CLOSE_DATE,CURRENCY_CD,CURR_BAL,STMT_BAL,PENDING_AUTH_AMT,CASH_BAL,MIN_PAY_DUE,LAST_PAY_AMT,LAST_PAY_DATE,CYCLE_DAY,LAST_CYCLE_DATE,NEXT_CYCLE_DATE,PAY_DUE_DATE,DELQ_BUCKET,DELQ_AMT,STMT_COUNT,BRANCH_CD
40000000101,400000101,PTY00000001,GOLD,O,1998-04-20,,USD,2418.77,2290.14,185.00,0.00,68.00,300.00,2024-07-05,3,2024-06-03,2024-07-03,2024-07-28,0,0.00,297,PDX01
40000000102,400000102,PTY00000002,CLAS,O,2003-02-01,,USD,874.20,802.55,0.00,150.00,35.00,80.00,2024-07-10,11,2024-06-11,2024-07-11,2024-08-05,0,0.00,251,NWK04
40000000103,400000103,PTY00000003,PLAT,O,2005-12-01,,USD,11842.63,11204.09,620.45,0.00,355.00,1200.00,2024-07-02,18,2024-06-18,2024-07-18,2024-08-12,0,0.00,223,SEA02
40000000104,400000104,PTY00000004,PLAT,O,1996-10-15,,USD,6390.11,6102.88,0.00,0.00,190.00,500.00,2024-06-28,25,2024-06-25,2024-07-25,2024-08-19,0,0.00,333,HFD01
40000000105,400000105,PTY00000004,CLAS,O,2004-06-01,,USD,1204.90,1150.00,45.00,0.00,40.00,40.00,2024-06-12,3,2024-06-03,2024-07-03,2024-07-28,1,40.00,240,HFD01
40000000106,400000106,PTY00000004,CLAS,C,2009-08-01,2019-03-14,USD,0.00,0.00,0.00,0.00,0.00,212.44,2019-03-01,11,2019-02-11,2019-03-11,2019-04-05,0,0.00,114,HFD01
40000000107,400000107,PTY00000008,GOLD,O,1999-08-01,,USD,3877.05,3702.61,0.00,400.00,115.00,250.00,2024-07-09,18,2024-06-18,2024-07-18,2024-08-12,0,0.00,299,DEN03
40000000108,400000108,PTY00000005,CLAS,O,2011-07-01,,USD,412.38,398.10,22.50,0.00,25.00,25.00,2024-07-05,25,2024-06-25,2024-07-25,2024-08-19,0,0.00,156,CHI07
40000000109,400000109,PTY00000006,BUSN,O,2001-10-01,,USD,24906.44,23811.70,1450.00,0.00,740.00,2500.00,2024-07-01,3,2024-06-03,2024-07-03,2024-07-28,0,0.00,273,BND01
40000000110,400000110,PTY00000007,PLAT,O,2014-03-01,,USD,9105.22,8720.00,310.00,0.00,265.00,900.00,2024-07-08,11,2024-06-11,2024-07-11,2024-08-05,0,0.00,124,AUS02
40000000111,400000111,PTY00000009,CLAS,O,2008-04-01,,USD,1993.47,1902.30,0.00,75.00,60.00,60.00,2024-05-20,18,2024-06-18,2024-07-18,2024-08-12,2,120.00,194,BKN05
40000000112,400000112,PTY00000010,PLAT,O,1994-07-15,,USD,18220.09,17800.44,0.00,0.00,540.00,1800.00,2024-07-03,25,2024-06-25,2024-07-25,2024-08-19,0,0.00,359,MEM01
40000000113,400000113,PTY00000011,CLAS,S,2002-05-01,,USD,645.90,645.90,0.00,0.00,35.00,0.00,2023-11-14,3,2024-06-03,2024-07-03,2024-07-28,4,645.90,265,SFO04
40000000114,400000114,PTY00000012,GOLD,O,2016-09-01,,USD,5012.66,4880.20,260.00,0.00,150.00,600.00,2024-07-06,11,2024-06-11,2024-07-11,2024-08-05,0,0.00,94,BOS01
40000000115,400000115,PTY00000001,BUSN,O,2012-10-01,,USD,7440.18,7190.55,0.00,0.00,225.00,800.00,2024-07-04,18,2024-06-18,2024-07-18,2024-08-12,0,0.00,141,PDX01
40000000116,400000116,PTY00000002,CLAS,O,2017-03-01,,USD,288.14,288.14,0.00,0.00,25.00,25.00,2024-07-02,25,2024-06-25,2024-07-25,2024-08-19,0,0.00,88,NWK04
40000000117,400000117,PTY00000003,GOLD,O,2013-07-01,,USD,3320.75,3180.00,95.00,0.00,100.00,350.00,2024-07-07,3,2024-06-03,2024-07-03,2024-07-28,0,0.00,132,SEA02
40000000118,400000118,PTY00000006,BUSN,W,2015-05-01,,USD,15904.22,15904.22,0.00,0.00,0.00,0.00,2022-09-16,11,2024-06-11,2024-07-11,2024-08-05,6,15904.22,105,BND01
