CARD_NUM,ACCT_ID,CUST_ID,EMBOSSED_NAME,PRODUCT_CD,CARD_STATUS,EXPIRY_YYMM,ISSUE_DATE,ACTIVATION_YYMMDD,LAST_USED_DATE,CVV_IND,PIN_TRIES,REISSUE_CNT,PREV_CARD_NUM,BLOCK_REASON,BLOCK_DATE
4000000000001018,40000000101,400000101,MARGARET A HOLLOWAY,GOLD,A,2703,2023-03-18,230402,2024-07-11,Y,0,3,4000000000000010,,
4000000000001026,40000000101,400000101,MARGARET A HOLLOWAY,GOLD,E,2403,2020-03-18,200405,2023-02-28,Y,0,2,,,
4111110000001037,40000000102,400000102,DANIEL C OKONKWO,CLAS,A,2611,2022-11-01,221114,2024-07-09,Y,0,4,4111110000000039,,
4111110000001045,40000000103,400000103,PIETER J VANDERBECK,PLAT,A,2806,2024-06-01,240610,2024-07-12,Y,0,6,4111110000000047,,
5105100000001058,40000000103,400000103,P J VANDERBECK,PLAT,B,2606,2022-06-01,220614,2024-03-01,Y,2,1,,FRAU,2024-03-05
5105100000001066,40000000104,400000104,JONATHAN R MERRIWEATHER,PLAT,A,2712,2023-12-01,231218,2024-07-10,Y,0,9,5105100000000068,,
4111110000001078,40000000107,400000107,ROBERT D MCALLISTER,GOLD,A,2609,2022-09-01,220919,2024-07-08,Y,0,5,4111110000000070,,
4000000000002081,40000000104,400000104,J R MERRIWEATHER,PLAT,C,0011,1998-11-01,981105,2000-12-04,N,0,0,,CLSD,2000-12-31
5555550000001091,40000000105,400000105,JONATHAN R MERRIWEATHER,CLAS,A,2604,2022-04-01,220417,2024-06-12,Y,1,3,,,
5555550000001109,40000000108,400000108,ILONA K SZABO,CLAS,A,2708,2023-08-01,230812,2024-07-05,Y,0,2,,,
6011000000001119,40000000109,400000109,CASCADE RIDGE OUTFITTERS,BUSN,A,2705,2023-05-01,230522,2024-07-11,Y,0,4,,,
6011000000001127,40000000109,400000109,T R HALVERSON,BUSN,A,2705,2023-05-01,230522,2024-06-28,Y,0,4,,,
4000000000001133,40000000110,400000110,FOLASADE T ABIODUN,PLAT,A,2802,2024-02-01,240214,2024-07-12,Y,0,3,4000000000000135,,
4111110000001144,40000000111,400000111,YELENA S PETROVA,CLAS,A,2510,2021-10-01,211018,2024-05-19,Y,0,2,,,
5105100000001157,40000000112,400000112,LINDQVIST FAMILY TRUST,PLAT,A,2807,2024-07-01,240709,,Y,0,7,5105100000000159,,
5105100000001165,40000000113,400000113,HIROSHI NAKAMURA,L,L,2603,2022-03-01,220314,2023-11-10,Y,3,2,,LOST,2023-11-12
5555550000001174,40000000114,400000114,SIMONE DELACROIX-BENNETT,GOLD,A,2609,2022-09-01,220914,2024-07-06,Y,0,2,,,
6011000000001184,40000000115,400000115,MARGARET A HOLLOWAY,BUSN,A,2604,2022-04-01,220419,2024-07-04,Y,0,1,,,
4000000000001190,40000000116,400000116,DANIEL C OKONKWO,CLAS,N,2812,2024-06-01,,,Y,0,0,,,
4111110000001201,40000000117,400000117,PIETER J VANDERBECK,GOLD,A,2611,2022-11-01,221121,2024-07-07,Y,0,2,,,
5105100000001215,40000000118,400000118,CASCADE RIDGE OUTFITTERS,BUSN,C,2405,2020-05-01,200518,2022-09-14,Y,0,1,,WOFF,2022-09-30
5555550000001224,40000000101,400000101,M A HOLLOWAY,GOLD,A,2703,2023-03-18,230402,2024-06-10,Y,0,0,,,
