CUST_ID,PARTY_ID,PARTY_TYPE,TITLE,FIRST_NAME,MIDDLE_INIT,LAST_NAME,DOB,ADDR_LINE1,CITY,STATE_CD,POSTAL_CD,COUNTRY_CD,SEGMENT_CD,PEP_FLG,VIP_FLG,CUST_STATUS,ONBOARD_DATE
400000101,PTY00000001,I,MRS,MARGARET,A,HOLLOWAY,1961-03-18,1184 WILLOW BEND ROAD,PORTLAND,OR,97218,USA,RETL,N,N,A,1998-04-12
400000102,PTY00000002,I,MR,DANIEL,C,OKONKWO,1975-09-02,77 EASTGATE TERRACE APT 4B,NEWARK,NJ,07104,USA,RETL,N,N,A,2003-01-17
400000103,PTY00000003,I,MR,PIETER,J,VANDERBECK,1968-07-24,3300 HARBOUR POINT DRIVE,SEATTLE,WA,98109,USA,AFFL,N,Y,A,2005-11-08
400000104,PTY00000004,I,MR,JONATHAN,R,MERRIWEATHER,1957-02-11,58 CHESTNUT HILL LANE,HARTFORD,CT,06105,USA,AFFL,N,Y,A,1996-10-02
400000105,PTY00000004,I,MR,JONATHAN,R,MERRIWEATHER,1957-02-11,58 CHESTNUT HILL LANE,HARTFORD,CT,06105,USA,RETL,N,N,A,2004-05-18
400000106,PTY00000004,I,MR,JON,R,MERRIWEATHER,1957-02-11,PO BOX 2214,HARTFORD,CT,06104,USA,RETL,N,N,D,2009-07-22
400000107,PTY00000008,I,MR,ROBERT,D,MACALLISTER,1964-08-27,912 SOUTH FERNWOOD AVENUE,DENVER,CO,80209,USA,RETL,N,N,A,1999-07-15
400000108,PTY00000005,I,MS,ILONA,K,SZABO,1982-05-16,440 RIVERWALK COURT UNIT 12,CHICAGO,IL,60654,USA,RETL,N,N,A,2011-06-23
400000109,PTY00000006,O,,, ,CASCADE RIDGE OUTFITTERS,1991-03-05,2 INDUSTRIAL PARKWAY,BEND,OR,97701,USA,COMM,N,N,A,2001-09-19
400000110,PTY00000007,I,MS,FOLASADE,T,ABIODUN,1988-01-30,1901 CONGRESS AVENUE SUITE 700,AUSTIN,TX,78701,USA,AFFL,Y,Y,A,2014-02-05
400000111,PTY00000009,I,MS,YELENA,S,PETROVA,1979-04-04,265 BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,USA,RETL,N,N,A,2008-03-11
400000112,PTY00000010,T,,, ,LINDQVIST FAMILY TRUST,1994-06-01,ONE COMMERCE SQUARE FLOOR 22,MEMPHIS,TN,38103,USA,TRST,N,Y,A,1994-06-01
400000113,PTY00000011,I,MR,HIROSHI, ,NAKAMURA,1971-09-19,1450 POST STREET APT 903,SAN FRANCISCO,CA,94109,USA,RETL,N,N,D,2002-04-26
400000114,PTY00000012,I,MS,SIMONE, ,DELACROIX-BENNETT,1986-07-12,77 BEACON STREET,BOSTON,MA,02108,USA,AFFL,N,N,A,2016-08-30
400000115,PTY00000001,I,MRS,MARGARET,A,HOLLOWAY,1961-03-18,1184 WILLOW BEND ROAD,PORTLAND,OR,97218,USA,COMM,N,N,A,2012-09-04
400000116,PTY00000002,I,MR,DANIEL,C,OKONKWO,1975-09-02,77 EASTGATE TERRACE APT 4B,NEWARK,NJ,07104,USA,RETL,N,N,A,2017-02-13
400000117,PTY00000003,I,MR,PIETER,J,VANDERBECK,1968-07-24,3300 HARBOUR POINT DRIVE,SEATTLE,WA,98109,USA,AFFL,N,Y,A,2013-06-07
400000118,PTY00000006,O,,, ,CASCADE RIDGE OUTFITTERS,1991-03-05,2 INDUSTRIAL PARKWAY,BEND,OR,97701,USA,COMM,N,N,A,2015-04-01
400000119,PTY00000004,I,MR,JONATHAN,R,MERRIWEATHER,1957-02-11,58 CHESTNUT HILL LANE,HARTFORD,CT,06105,USA,COMM,N,N,A,2018-02-26
