PARTY_ID,KYC_SEQ,KYC_STATUS,KYC_LEVEL,REVIEW_TYPE,REVIEW_DATE,NEXT_REVIEW_DATE,EXPIRY_DATE,ID_DOC_TYPE,ID_DOC_REF,ID_DOC_EXPIRY,ADDR_VERIFIED_FLG,SOURCE_OF_FUNDS_CD,RISK_RATING,ENHANCED_DD_FLG,REVIEWED_BY
PTY00000001,1,OK,STD,PERI,2023-04-12,2026-04-12,2026-04-12,PASS,P4471902,2029-11-30,Y,SALW,L,N,PRTYOP01
PTY00000002,1,OK,STD,PERI,2022-01-17,2025-01-17,2025-01-17,DLIC,NJ88213004,2027-09-02,Y,SALW,L,N,PRTYOP01
PTY00000003,1,OK,ENH,PERI,2023-11-08,2025-11-08,2025-11-08,PASS,NL6620114,2030-12-31,Y,INVT,M,Y,PRTYOP03
PTY00000004,1,OK,STD,PERI,2022-10-02,2025-10-02,2025-10-02,PASS,P2210447,2028-02-11,Y,SALW,L,N,PRTYOP02
PTY00000004,2,PN,ENH,EVNT,2024-06-14,2024-08-14,,,,,Y,SALW,M,Y,PRTYOP03
PTY00000005,1,OK,STD,PERI,2023-06-23,2026-06-23,2026-06-23,PASS,HU4408122,2028-11-15,Y,SALW,L,N,PRTYOP01
PTY00000006,1,OK,ENH,PERI,2022-09-19,2025-09-19,2025-09-19,INCO,OR-C-441907,9999-12-31,Y,BUSN,M,Y,PRTYOP03
PTY00000007,1,OK,ENH,PERI,2024-02-05,2025-02-05,2025-02-05,PASS,P9917204,2031-01-30,Y,SALW,H,Y,PRTYOP04
PTY00000008,1,OK,STD,PERI,2022-07-15,2025-07-15,2025-07-15,DLIC,CO40128877,2026-08-27,Y,SALW,L,N,PRTYOP01
PTY00000009,1,EX,ENH,PERI,2021-03-11,2024-03-11,2024-03-11,PASS,RU7712043,2025-04-04,N,SALW,M,Y,PRTYOP03
PTY00000010,1,OK,ENH,PERI,2023-06-01,2026-06-01,2026-06-01,TRDD,TN-TR-940601,9999-12-31,Y,INHT,M,Y,PRTYOP03
PTY00000011,1,FL,ENH,EVNT,2023-11-20,2024-02-20,,PASS,JP5504118,2026-09-19,N,,H,Y,PRTYOP04
PTY00000012,1,OK,STD,PERI,2023-08-30,2026-08-30,2026-08-30,PASS,FR8807122,2030-07-12,Y,SALW,L,N,PRTYOP02
PTY00000006,2,OK,ENH,EVNT,2024-03-01,2025-03-01,2025-03-01,INCO,OR-C-441907,9999-12-31,Y,BUSN,M,Y,PRTYOP03
