CARD_NUM,LIMIT_TYPE,LIMIT_AMT,USED_AMT,AVAIL_AMT,DAILY_CNT_LIMIT,DAILY_CNT_USED,VELOCITY_WINDOW_MIN,VELOCITY_MAX_CNT,APR_PCT,CASH_APR_PCT,RISK_BAND,LAST_REVIEW_DATE,EFF_DATE,EXP_DATE
4000000000001018,CRED,15000.00,2418.77,12581.23,20,3,60,5,18.99000,24.99000,A,2024-03-01,2023-03-18,9999-12-31
4000000000001018,CASH,3000.00,0.00,3000.00,3,0,1440,2,24.99000,24.99000,A,2024-03-01,2023-03-18,9999-12-31
4000000000001018,DAIL,5000.00,412.90,4587.10,20,3,1440,20,0.00000,0.00000,A,2024-03-01,2023-03-18,9999-12-31
4111110000001037,CRED,4500.00,874.20,3625.80,12,1,60,5,22.99000,27.99000,B,2024-01-15,2022-11-01,9999-12-31
4111110000001037,CASH,900.00,150.00,750.00,2,1,1440,2,27.99000,27.99000,B,2024-01-15,2022-11-01,9999-12-31
4111110000001045,CRED,40000.00,11842.63,28157.37,30,4,60,8,15.49000,21.99000,A,2024-04-01,2024-06-01,9999-12-31
4111110000001045,FRGN,20000.00,3204.11,16795.89,30,2,60,8,15.49000,21.99000,A,2024-04-01,2024-06-01,9999-12-31
5105100000001066,CRED,35000.00,6390.11,28609.89,30,2,60,8,15.49000,21.99000,A,2024-02-01,2023-12-01,9999-12-31
4111110000001078,CRED,12000.00,3877.05,8122.95,20,2,60,5,19.99000,25.99000,B,2024-03-01,2022-09-01,9999-12-31
4111110000001078,CASH,2400.00,400.00,2000.00,3,1,1440,2,25.99000,25.99000,B,2024-03-01,2022-09-01,9999-12-31
5555550000001091,CRED,3500.00,1204.90,2295.10,12,2,60,5,24.99000,27.99000,C,2024-05-01,2022-04-01,9999-12-31
5555550000001109,CRED,2500.00,412.38,2087.62,10,1,60,4,22.99000,27.99000,B,2024-06-01,2023-08-01,9999-12-31
6011000000001119,CRED,75000.00,24906.44,50093.56,50,8,60,12,16.99000,22.99000,A,2024-04-01,2023-05-01,9999-12-31
4000000000001133,CRED,50000.00,9105.22,40894.78,40,5,60,10,15.49000,21.99000,A,2024-03-01,2024-02-01,9999-12-31
4111110000001144,CRED,3000.00,1993.47,1006.53,10,2,60,4,26.99000,29.99000,C,2024-02-01,2021-10-01,9999-12-31
5105100000001157,CRED,60000.00,18220.09,41779.91,40,3,60,10,14.99000,20.99000,A,2024-05-01,2024-07-01,9999-12-31
5555550000001174,CRED,20000.00,5012.66,14987.34,25,4,60,6,18.99000,24.99000,A,2024-04-01,2022-09-01,9999-12-31
6011000000001184,CRED,25000.00,7440.18,17559.82,30,3,60,8,17.99000,23.99000,A,2024-03-01,2022-04-01,9999-12-31
4111110000001201,CRED,18000.00,3320.75,14679.25,25,2,60,6,18.99000,24.99000,A,2024-05-01,2022-11-01,9999-12-31
4000000000001018,CRED,10000.00,1980.00,8020.00,20,3,60,5,18.99000,24.99000,B,2022-03-01,2020-03-18,2023-03-17
