PARTY_ID,PARTY_TYPE,LEGAL_NAME,SHORT_NAME,DOB_INCORP,NATIONAL_ID,TAX_ID,DOMICILE_CTRY,RESIDENCE_CTRY,CITIZENSHIP,PEP_FLG,STATUS,ONBOARD_DATE,LINK_CNT
PTY00000001,I,"HOLLOWAY, MARGARET ANNE",HOLLOWAY MA,1961-03-18,NID00061318,TAX000000061318,USA,USA,USA,N,A,1998-04-12,2
PTY00000002,I,"OKONKWO, DANIEL CHUKA",OKONKWO DC,1975-09-02,NID00075902,TAX000000075902,USA,USA,NGA,N,A,2003-01-17,2
PTY00000003,I,"VANDERBECK, PIETER JAN",VANDERBECK PJ,1968-07-24,NID00068724,TAX000000068724,NLD,USA,NLD,N,A,2005-11-08,2
PTY00000004,I,"MERRIWEATHER, JONATHAN ROSS",MERRIWEATHER JR,1957-02-11,NID00057211,TAX000000057211,USA,USA,USA,N,A,1996-10-02,4
PTY00000005,I,"SZABO, ILONA KATALIN",SZABO IK,1982-05-16,NID00082516,TAX000000082516,HUN,USA,HUN,N,A,2011-06-23,1
PTY00000006,O,CASCADE RIDGE OUTFITTERS INCORPORATED,CASCADE RIDGE,1991-03-05,NID00091305,TAX000000091305,USA,USA,USA,N,A,2001-09-19,2
PTY00000007,I,"ABIODUN, FOLASADE TEMILADE",ABIODUN FT,1988-01-30,NID00088130,TAX000000088130,USA,USA,NGA,Y,A,2014-02-05,1
PTY00000008,I,"MACALLISTER, ROBERT DEAN",MACALLISTER RD,1964-08-27,NID00064827,TAX000000064827,USA,USA,USA,N,A,1999-07-15,1
PTY00000009,I,"PETROVA, YELENA SERGEEVNA",PETROVA YS,1979-04-04,NID00079404,TAX000000079404,USA,USA,RUS,N,A,2008-03-11,1
PTY00000010,T,THE LINDQVIST FAMILY TRUST 1994,LINDQVIST TRUST,1994-06-01,NID00094601,TAX000000094601,USA,USA,USA,N,A,1994-06-01,1
PTY00000011,I,"NAKAMURA, HIROSHI",NAKAMURA H,1971-09-19,NID00071919,TAX000000071919,JPN,USA,JPN,N,D,2002-04-26,1
PTY00000012,I,"DELACROIX-BENNETT, SIMONE",DELACROIX-BENNETT S,1986-07-12,NID00086712,TAX000000086712,FRA,USA,FRA,N,A,2016-08-30,1
