LIST_CD,ENTRY_ID,ENTITY_NAME,ENTITY_TYPE,COUNTRY_CD,DOB,PROGRAM_CD,LISTED_DATE,DELISTED_DATE,ACTIVE_FLG,LOAD_JOB
OFAC,SDN0000000000101,"PETROV, SERGEI ALEKSANDROVICH",I,RUS,1966-02-14,UKRAINE-EO14024,2022-04-01,,Y,CBPRT01J
OFAC,SDN0000000000147,NORTHERN STAR SHIPPING LLC,O,RUS,,UKRAINE-EO14024,2022-04-01,,Y,CBPRT01J
OFAC,SDN0000000000412,"MERIWEATHER, JONATHON",I,USA,1957-02-11,SDNTK,2019-07-22,,Y,CBPRT01J
OFAC,SDN0000000000488,"AL-MASRI, TAREQ IBRAHIM",I,SYR,1980-11-03,SDGT,2017-03-10,,Y,CBPRT01J
OFAC,SDN0000000000512,"HANSEN, ERIK JOHANN",I,DNK,1972-12-19,SDNTK,2015-06-08,2021-09-30,N,CBPRT01J
UN,UNL0000000000034,KHALID TRADING ESTABLISHMENT,O,IRN,,IRAN-1737,2012-01-15,,Y,CBPRT01J
UN,UNL0000000000091,"OKONKWO, DANIELLA CHIOMA",I,NGA,1991-04-08,TALIBAN-1988,2020-02-17,,Y,CBPRT01J
UN,UNL0000000000122,PYONGYANG METAL EXPORT COMPANY,O,PRK,,DPRK-1718,2016-09-30,,Y,CBPRT01J
EU,EUL0000000000205,"VOLKOV, DMITRI NIKOLAEVICH",I,RUS,1969-08-17,EU-269-2014,2022-03-15,,Y,CBPRT01J
EU,EUL0000000000241,"SZABO, ILDIKO",I,HUN,1982-05-16,EU-2580-2001,2018-09-12,,Y,CBPRT01J
EU,EUL0000000000260,BALTIC MARINE LOGISTICS OU,O,EST,,EU-833-2014,2023-02-24,,Y,CBPRT01J
INTERNAL,INT0000000000012,"NAKAMURA, HIROSHI",I,JPN,1971-09-19,INTERNAL-FRAUD,2023-11-15,,Y,PRKYC04
INTERNAL,INT0000000000019,GLOBAL DIGITAL GOODS EXCHANGE,O,MLT,,INTERNAL-MERCH,2020-07-11,,Y,PRKYC04
INTERNAL,INT0000000000023,"ABIODUN, FOLASHADE",I,NGA,1988-01-30,INTERNAL-PEP,2014-02-05,,Y,PRKYC04
OFAC,SDN0000000000633,"DELACROIX, SIMON",I,FRA,1986-07-12,SDNTK,2021-11-04,,Y,CBPRT01J
OFAC,SDN0000000000701,"VANDERBEEK, PETER J",I,NLD,1968-07-24,CYBER2,2020-05-28,,Y,CBPRT01J
UN,UNL0000000000188,HOLLOWAY MINING VENTURES LTD,O,ZWE,,UN-1521,2011-06-03,2019-04-18,N,CBPRT01J
EU,EUL0000000000299,"PETROVA, YELENA",I,RUS,1979-04-04,EU-269-2014,2024-01-19,,Y,CBPRT01J
